дата,ряд,показатель,значение,единица,источник_файл,флаг
2022-01-01,Comtrade импорт газа 271121 (месячный),World | энергия,7290.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,129554903.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | количество,135809000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,135809000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | энергия,7290.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,87528849.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),World | количество,108160000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,108160000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),World | энергия,5822.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,87528849.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | количество,108160000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,108160000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | энергия,5822.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,91333704.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),World | количество,116201000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,116201000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),World | энергия,6277.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,91333704.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | количество,116201000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,116201000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | энергия,6277.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,50127184.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),World | количество,29542700.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,29542700.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),World | энергия,1602.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,50127184.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | количество,29542700.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,29542700.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | энергия,1602.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,26150412.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),World | количество,20069800.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,20069800.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),World | энергия,1088.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,26150412.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | количество,20069800.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,20069800.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | энергия,1088.0,ТДж,TradeData_8_9_2026_2_17_18.csv,
2022-06-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,23200367.0,USD,TradeData_8_9_2026_2_17_18.csv,
